 id  |   product_mn   |        product_name        | subcategory_id |   subcategory_name   
-----+----------------+----------------------------+----------------+----------------------
 157 | EJUMJK4310NJNJ | 同轴电缆跳接线             |             74 | 同轴电缆跳接线
 158 | W0000225       | 同轴电缆跳接线             |             74 | 同轴电缆跳接线
 160 | W000185        | 同轴电缆跳接线             |             74 | 同轴电缆跳接线
 161 | EJUMJK4320NJQJ | 同轴电缆跳接线             |             74 | 同轴电缆跳接线
 162 | EJUMJK4325NJNJ | 同轴电缆跳接线             |             74 | 同轴电缆跳接线
 163 | EJUMJK4315NJQJ | 同轴电缆跳接线             |             74 | 同轴电缆跳接线
 164 | EJUMJK4320NJNJ | 同轴电缆跳接线             |             74 | 同轴电缆跳接线
 165 | EJUMJK4315NJNJ | 同轴电缆跳接线             |             74 | 同轴电缆跳接线
 166 | EJUMJK4310NJQJ | 同轴电缆跳接线             |             74 | 同轴电缆跳接线
 142 | W0000144       | 单模光纤跳线单芯           |             75 | 单模光纤跳线单芯
 143 | EJUWY05A4001   | 单模光纤跳线单芯           |             75 | 单模光纤跳线单芯
 144 | W000612        | 单模光纤跳线单芯           |             75 | 单模光纤跳线单芯
 145 | W000154        | 单模光纤跳线单芯           |             75 | 单模光纤跳线单芯
 146 | EJUWY10A4001   | 单模光纤跳线单芯           |             75 | 单模光纤跳线单芯
 138 | EDFWYFC24W     | 光纤配线架                 |             76 | 光纤配线架
 139 | EDFWYFC48W     | 光纤配线架                 |             76 | 光纤配线架
 140 | EDFWYFC04O     | 光纤配线架                 |             76 | 光纤配线架
 141 | EDFWYFC08O     | 光纤配线架                 |             76 | 光纤配线架
 172 | W000162        | 衰减器                     |             77 | 衰减器
 173 | W000161        | 衰减器                     |             77 | 衰减器
 174 | W000072        | 衰减器                     |             77 | 衰减器
 147 | ECAWYGYXTH0401 | 轻低烟无卤阻燃铠光缆       |             78 | 轻低烟无卤阻燃铠光缆
 149 | ECAWYGYXTH1601 | 轻低烟无卤阻燃铠光缆       |             78 | 轻低烟无卤阻燃铠光缆
 150 | W000611        | 轻低烟无卤阻燃铠光缆       |             78 | 轻低烟无卤阻燃铠光缆
 175 | W000160        | 馈线接地卡                 |             79 | 馈线接地卡
 176 | W000159        | 馈线接地卡                 |             79 | 馈线接地卡
 177 | W000140        | 馈线接地卡                 |             79 | 馈线接地卡
 168 | OCIN5JZALC1    | 同轴电缆连接器             |             80 | 同轴电缆连接器
 171 | OCIN5JZELC1    | 同轴电缆连接器             |             80 | 同轴电缆连接器
 169 | OCIN5JWALC1    | 同轴电缆连接转换器         |             81 | 同轴电缆连接转换器
 170 | OCIN5KZALC1    | 同轴电缆连接转换器         |             81 | 同轴电缆连接转换器
 153 | OZCH221035     | 波纹管同轴电缆             |             82 | 波纹管同轴电缆
 154 | OZCH221036     | 波纹管同轴电缆             |             82 | 波纹管同轴电缆
 152 | OBJANOTHS01    | 同轴避雷器                 |             86 | 同轴避雷器
 148 | 80093324       | 普通中心束管式光缆         |             87 | 普通中心束管式光缆
 155 | 40425003       | 漏泄同轴电缆               |             88 | 漏泄同轴电缆
 178 | 4042RNM        | 1-5/8”漏泄同轴电缆接头     |             88 | 漏泄同轴电缆
 179 | 4042RDNPT      | 1-5/8”漏泄同轴电缆吊夹     |             88 | 漏泄同轴电缆
 180 | 4042RDNFH      | 1-5/8”漏泄同轴电缆防火吊夹 |             88 | 漏泄同轴电缆
 181 | W000141        | 直流隔断器                 |             89 | 直流隔断器
 167 | W000163        | 终端负载                   |             90 | 终端负载
 159 | W000188        | 超柔同轴电缆跳接线         |             91 | 超柔同轴电缆跳接线
 156 | OISKHB1JLC1    | 跳线                       |             92 | 跳线
  13 | OBUSWG10       | 虚拟集群服务器主机         |            105 | 服务器
   1 | OBJSVOTXQ01    | 智能信道交换机             |            106 | 交换机
(45 rows)

