 id  | code_letter |            name            | category_id | display_order 
-----+-------------+----------------------------+-------------+---------------
  65 | F           | 双工频率板                 |          10 |             1
  66 | E           | 电源线                     |          10 |             2
  74 | A           | 同轴电缆跳接线             |          10 |             3
  75 | B           | 单模光纤跳线单芯           |          10 |             4
  76 | C           | 光纤配线架                 |          10 |             5
  77 | D           | 衰减器                     |          10 |             6
  78 | G           | 轻低烟无卤阻燃铠光缆       |          10 |             7
  79 | H           | 馈线接地卡                 |          10 |             8
  80 | I           | 同轴电缆连接器             |          10 |             9
  81 | J           | 同轴电缆连接转换器         |          10 |            10
  82 | K           | 波纹管同轴电缆             |          10 |            11
  83 | L           | 1-5/8"漏泄同轴电缆接头     |          10 |            12
  84 | M           | 1-5/8"漏泄同轴电缆吊夹     |          10 |            13
  85 | N           | 1-5/8"漏泄同轴电缆防火吊夹 |          10 |            14
  86 | O           | 同轴避雷器                 |          10 |            15
  87 | P           | 普通中心束管式光缆         |          10 |            16
  88 | Q           | 漏泄同轴电缆               |          10 |            17
  89 | R           | 直流隔断器                 |          10 |            18
  90 | S           | 终端负载                   |          10 |            19
  91 | T           | 超柔同轴电缆跳接线         |          10 |            20
  92 | U           | 跳线                       |          10 |            21
 105 | Y           | 服务器                     |          10 |           100
 106 | V           | 交换机                     |          10 |           101
(23 rows)

