         table_name         |      column_name      |          data_type          
----------------------------+-----------------------+-----------------------------
 actions                    | communication         | text
 actions                    | company_id            | integer
 actions                    | contact_id            | integer
 actions                    | created_at            | timestamp without time zone
 actions                    | date                  | date
 actions                    | id                    | integer
 actions                    | owner_id              | integer
 actions                    | project_id            | integer
 affiliations               | created_at            | double precision
 affiliations               | id                    | integer
 affiliations               | owner_id              | integer
 affiliations               | viewer_id             | integer
 alembic_version            | version_num           | character varying
 companies                  | address               | character varying
 companies                  | company_code          | character varying
 companies                  | company_name          | character varying
 companies                  | company_type          | character varying
 companies                  | country               | character varying
 companies                  | created_at            | timestamp without time zone
 companies                  | id                    | integer
 companies                  | industry              | character varying
 companies                  | is_deleted            | boolean
 companies                  | notes                 | text
 companies                  | owner_id              | integer
 companies                  | region                | character varying
 companies                  | status                | character varying
 companies                  | updated_at            | timestamp without time zone
 contacts                   | company_id            | integer
 contacts                   | created_at            | timestamp without time zone
 contacts                   | department            | character varying
 contacts                   | email                 | character varying
 contacts                   | id                    | integer
 contacts                   | is_primary            | boolean
 contacts                   | name                  | character varying
 contacts                   | notes                 | text
 contacts                   | owner_id              | integer
 contacts                   | phone                 | character varying
 contacts                   | position              | character varying
 contacts                   | updated_at            | timestamp without time zone
 data_affiliations          | created_at            | double precision
 data_affiliations          | id                    | integer
 data_affiliations          | owner_id              | integer
 data_affiliations          | viewer_id             | integer
 dev_product_specs          | dev_product_id        | integer
 dev_product_specs          | field_code            | character varying
 dev_product_specs          | field_name            | character varying
 dev_product_specs          | field_value           | character varying
 dev_product_specs          | id                    | integer
 dev_products               | category_id           | integer
 dev_products               | created_at            | timestamp without time zone
 dev_products               | created_by            | integer
 dev_products               | description           | text
 dev_products               | id                    | integer
 dev_products               | image_path            | character varying
 dev_products               | mn_code               | character varying
 dev_products               | model                 | character varying
 dev_products               | name                  | character varying
 dev_products               | owner_id              | integer
 dev_products               | region_id             | integer
 dev_products               | retail_price          | double precision
 dev_products               | status                | character varying
 dev_products               | subcategory_id        | integer
 dev_products               | unit                  | character varying
 dev_products               | updated_at            | timestamp without time zone
 dictionaries               | created_at            | double precision
 dictionaries               | id                    | integer
 dictionaries               | is_active             | boolean
 dictionaries               | key                   | character varying
 dictionaries               | sort_order            | integer
 dictionaries               | type                  | character varying
 dictionaries               | updated_at            | double precision
 dictionaries               | value                 | character varying
 permissions                | can_create            | boolean
 permissions                | can_delete            | boolean
 permissions                | can_edit              | boolean
